サウンド設定を行います,声音设置
ボイス設定を行います,语音设置
文字設定を行います,文字设置
動作設定を行います,操作设置
操作設定を行います,控制设置
ＢＧＭの音量を調整します,调整ＢＧＭ音量
ＢＧＭの音量を下げます,降低ＢＧＭ音量
ＢＧＭの音量を上げます,提高ＢＧＭ音量
ボイスの音量を調整します,调整语音音量
ボイスの音量を下げます,降低语音音量
ボイスの音量を上げます,提高语音音量
ＳＥの音量を調整します,调整ＳＥ音量
ＳＥの音量を下げます,降低ＳＥ音量
ＳＥの音量を上げます,提高ＳＥ音量
システムＳＥの音量を調整します,调整系统ＳＥ音量
システムＳＥの音量を下げます,降低系统ＳＥ音量
システムＳＥの音量を上げます,提高系统ＳＥ音量
ＢＧＭの音量を一定にします,保持ＢＧＭ音量恒定
ボイス再生中にＢＧＭの音量を下げて聞き易くします,语音播放时降低ＢＧＭ音量以提高清晰度
ＢＧＭの曲名を表示しません,不显示ＢＧＭ曲目名称
ＢＧＭの曲名を表示します,显示ＢＧＭ曲目名称
サウンド設定を初期設定に戻します,恢复默认声音设置
ユースティアのボイス出力を設定します,设置尤斯蒂娅的语音输出
エリスのボイス出力を設定します,设置艾莉斯的语音输出
聖女イレーヌのボイス出力を設定します,设置圣女伊莲的语音输出
リシアのボイス出力を設定します,设置莉西亚的语音输出
フィオネのボイス出力を設定します,设置菲奥奈的语音输出
メルトのボイス出力を設定します,设置梅尔特的语音输出
クローディアのボイス出力を設定します,设置库罗蒂雅的语音输出
リサのボイス出力を設定します,设置莉莎的语音输出
アイリスのボイス出力を設定します,设置阿伊莉斯的语音输出
ラヴィリアのボイス出力を設定します,设置拉菲莉亚的语音输出
カイムのボイス出力を設定します,设置凯伊姆的语音输出
ルキウスのボイス出力を設定します,设置鲁基乌斯的语音输出
ジークのボイス出力を設定します,设置吉克的语音输出
システィナのボイス出力を設定します,设置西斯狄娜的语音输出
ギルバルトのボイス出力を設定します,设置吉尔巴鲁特的语音输出
ベルナドのボイス出力を設定します,设置贝尔纳德的语音输出
ヴァリアスのボイス出力を設定します,设置法利亚斯的语音输出
ラングのボイス出力を設定します,设置兰格的语音输出
ナダルのボイス出力を設定します,设置纳达尔的语音输出
ガウのボイス出力を設定します,设置戈尔的语音输出
その他男性のボイス出力を設定します,设置其他男性角色语音输出
その他女性のボイス出力を設定します,设置其他女性角色语音输出
ボイス設定を初期設定に戻します,恢复为默认语音设置
テキストの表示速度を調整します,调整文本显示速度
テキストの表示速度を遅くします,减慢文本显示速度
テキストの表示速度を速くします,加快文本显示速度
文字フォントを変更します,更改文字字体
文字の色を単色にします,将文字颜色设置为单色
既読文の文字の色を変更します,更改已读文本的文字颜色
文字に縁取りを付けません,不为文字添加描边
文字に縁取りを付けます,为文字添加描边
文字に影を付けません,不为文字添加阴影
文字に影を付けます,为文字添加阴影
ウィンドウの透明度を変更します,更改对话框透明度
ウィンドウを薄くします,降低对话框不透明度
ウィンドウを濃くします,提高对话框不透明度
文字設定を初期設定に戻します,恢复默认文字设置
オートモードの速度を調整します,调整自动模式速度
オートモードの速度を遅くします,减慢自动模式速度
オートモードの速度を速くします,加快自动模式速度
全ての文章をスキップ可能にします,允许跳过所有文本
既読の文章のみスキップ可能にします,仅允许跳过已读文本
選択肢でスキップを解除しません,不在选项处解除跳过
選択肢でスキップを解除します,在选项处解除跳过
ボイススキップしません,不跳过语音
テキスト送り操作時にボイススキップします,文本推进操作时跳过语音
選択肢で自動クイックセーブします,在选项处自动快速保存
チャプターの頭で自動クイックセーブします,在章节开头自动快速保存
ヘルプウィンドウを表示しません,不显示帮助窗口
ヘルプウィンドウを表示します,显示帮助窗口
動作設定を初期設定に戻します,恢复默认操作设置
ボタン設定を変更します,更改按键设置
操作設定を初期設定に戻します,恢复默认操作设置
コレットのボイス出力を設定します,设置柯蕾特的语音输出
ロードしますか？,是否读取存档？
セーブしますか？,是否保存存档？
上書きしますか？,是否覆盖存档？
システムデータをロードしますか？,是否读取系统数据？
システムデータをセーブしますか？,是否保存系统数据？
システムデータを上書きしますか？,是否覆盖系统数据？
フォーマットを実行しますか？,是否执行格式化？
セーブをキャンセルしますか？,是否取消保存？
タイトルに戻りますか？,是否返回标题界面？
クイックロードしますか？,是否快速读取？
次のチャプターまでジャンプしますか？,是否跳转到下一章节？
前のチャプターまで戻りますか？,是否返回上一章节？
シーン回想の選択画面に戻りますか？,是否返回场景回放选择界面？
おまけの選択画面に戻りますか？,是否返回特典选择界面？
リプレイの選択画面に戻りますか？,是否返回回放选择界面？
名前を初期化しますか？,是否初始化名称？
セーブをせずに終了してもよろしいですか？,是否不保存直接退出？
画面の色味をPCH-2000向けに調整しますか？,是否将屏幕色调整调整为PCH-2000适用？
色調整をノーマルに戻しますか？,是否将色彩调整恢复为标准？
クリアデータをセーブしますか？^(クリアデータをロードするとステータスを引き継いでゲームを開始します),是否保存通关数据？^(读取通关数据可继承状态开始游戏)
セーブデータ削除ユーティリティを起動しますか？,是否启动存档删除工具？
選択した場所からシーン回想を開始しますか？^（黄緑のマスまで再生できます）,是否从选定位置开始场景回放？^（可播放至黄绿色标记处）
BGMをアレンジバージョンに変更しますか？,是否将ＢＧＭ改为改编版本？
BGMをオリジナルバージョンに変更しますか？,是否将ＢＧＭ改为原版版本？
コレットの名前を知る,知晓柯蕾特的名字
名前初登場フラグ：システィナ,名字初登场标志：西斯狄娜
名前初登場：ギルバルト,名字初登场：吉尔巴鲁特
ベルナド初登場フラグ,贝尔纳德初登场标志
名前初登場：ヴァリアス,名字初登场：法利亚斯
名前初登場：ガウ,名字初登场：戈尔
体験版エリアを通過する,通过体验版区域
フィオネ編を通過する,通过菲奥奈篇
フィオネ恋愛編をクリアする,完成菲奥奈恋爱篇
エリス編を通過する,通过艾莉斯篇
エリス恋愛編をクリアする,完成艾莉斯恋爱篇
コレット編を通過する,通过柯蕾特篇
コレット恋愛編をクリアする,完成柯蕾特恋爱篇
ラヴィリア恋愛編をクリアする,完成拉菲莉亚恋爱篇
リシア編を通過する,通过莉西亚篇
リシア恋愛編をクリアする,完成莉西亚恋爱篇
ティア編をクリアする,完成缇娅篇
誰でもいいので恋愛編をクリアする,完成任意角色恋爱篇
全ヒロイン恋愛編をクリアする,完成所有女主角恋爱篇
全おまけ・全ヒロイン恋愛ルートをクリアする,完成所有特典及所有女主角恋爱路线
おまけ・ティアH01をクリア,完成特典・缇娅H01
おまけ・ティアH02をクリア,完成特典・缇娅H02
おまけ・ティアH03をクリア,完成特典・缇娅H03
おまけ・エリスH01をクリア,完成特典・艾莉斯H01
おまけ・エリスH02をクリア,完成特典・艾莉斯H02
おまけ・コレットラヴィHをクリア,完成特典・柯蕾特拉菲H
おまけ・リシアH01をクリア,完成特典・莉西亚H01
おまけ・リシアH02をクリア,完成特典・莉西亚H02
おまけ・フィオネH01をクリア,完成特典・菲奥奈H01
おまけ・フィオネH02をクリア,完成特典・菲奥奈H02
おまけ・クローディアHをクリア,完成特典・库罗蒂雅H
おまけ・リサHをクリア,完成特典・莉莎H
おまけ・アイリスHをクリア,完成特典・阿伊莉斯H
おまけ・牢獄編をクリア,完成特典・牢狱篇
おまけ・聖女編をクリア,完成特典・圣女篇
おまけ・ルキウス編をクリア,完成特典・鲁基乌斯篇
おまけ・王城編をクリア,完成特典・王城篇
ティアH01通過,通过缇娅H01
ティアH02通過,通过缇娅H02
ティアH03通過,通过缇娅H03
ティアH04通過,通过缇娅H04
エリスH01通過,通过艾莉斯H01
エリスH02通過,通过艾莉斯H02
エリスH03通過,通过艾莉斯H03
エリスH04通過,通过艾莉斯H04
コレットH01通過,通过柯蕾特H01
コレットH02通過,通过柯蕾特H02
ラヴィH01通過,通过拉菲H01
コレットラヴィ3PH通過,通过柯蕾特拉菲3PH
リシアH01通過,通过莉西亚H01
リシアH02通過,通过莉西亚H02
リシアH03通過,通过莉西亚H03
リシアH04通過,通过莉西亚H04
フィオネH01通過,通过菲奥奈H01
